#;Nom;Adresse;Code postal;Ville;Téléphone;E-mail;Site / réseau;Cuisine;Raison sociale (SIRENE);SIREN;Dirigeant;Source OSM;Statut;Notes
143;Les Saveurs d'Alberto;12 Rue Adolphe Mille;75019;Paris;06 78 10 70 76;;;Africaine;SARL LES SAVEURS D'ALBERTO;793625609;BERTIN DJEUDJA;https://www.openstreetmap.org/node/10949425605;À contacter;
144;Mama Africa;25 Avenue Corentin Cariou;75019;Paris;;;;Africaine;GABOUGOU (MAMA AFRICA);803991116;AWA MACALOU (DIAWARA);https://www.openstreetmap.org/node/11232454317;À contacter;
145;Marmite d'Afrique;21 Boulevard de la Commanderie;75019;Paris;09 81 44 33 70;;https://www.resto-passerelle.org/project/marmite-dafrique/;Africaine;ASSOCIATION MARMITE D'AFRIQUE;520036138;;https://www.openstreetmap.org/node/11277546364;À contacter;
146;Nabou Pastel;150 Avenue de Flandre;75019;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/13008737506;À contacter;
147;O'Pays;13 Avenue Corentin Cariou;75019;Paris;;;;Antillaise / Caraïbes;O'PAYS;848390977;ADRIEN BONIAUX;https://www.openstreetmap.org/node/13013201102;À contacter;
148;Selam ethiopian restaurant;78 Boulevard de la Villette;75019;Paris;06 16 17 96 99;jenetbekele@gmail.com;;Africaine (d’après le nom);;;;https://www.openstreetmap.org/node/2957838425;À contacter;
149;Abyssinia;5 Rue Martin Garat;75020;Paris;01 40 31 66 42;caferestaurant@abyssinia.fr;https://www.abyssinia.fr/;Éthiopienne;GEM ABYSSINIA;520726274;;https://www.openstreetmap.org/node/12075988562;À contacter;
150;Afrik'n'Fusion;330 Rue des Pyrénées;75020;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/5141737907;À contacter;
151;Au Petit Bamako;108 Rue de Bagnolet;75020;Paris;09 50 91 39 87;lediezbyamzo@gmail.com;https://aupetitbamako.eatbu.com/;Ouest-africaine;;;;https://www.openstreetmap.org/node/5679958423;À contacter;
152;Chez Kine;37 Rue de Ménilmontant;75020;Paris;;;;Sénégalaise;CHEZ KINE;808037709;SERIGNE MBAYE SY SECK;https://www.openstreetmap.org/node/9520227644;À contacter;
153;Enat;312 Rue des Pyrénées;75020;Paris;09 81 77 14 00;;https://enat-ethioipia-resto.com/;Éthiopienne;ENAT;885240929;DINO GEZAHEGN;https://www.openstreetmap.org/node/6719871940;À contacter;
154;L'Africana;7 Rue Ramponeau;75020;Paris;;;;Africaine (d’après le nom);L'AFRICANA (LE SOLEIL);531688844;;https://www.openstreetmap.org/node/6338334565;À contacter;
155;Massama délices;86 Rue de Belleville;75020;Paris;;;;Africaine;;;;https://www.openstreetmap.org/node/5873101892;À contacter;
156;Wupisi - Cuisine traditionnelle comorienne;54 Rue de Terre Neuve;75020;Paris;07 66 57 41 15;wupisi.idf@gmail.com;https://www.wupisi.com/;Africaine;;;;https://www.openstreetmap.org/node/13240405801;À contacter;
157;Mr. BBQ la grillade;61 Rue Alexandre Soljenitsyne;91000;Évry-Courcouronnes;06 95 32 61 18;Monsieur-BBQ@outlook.fr;https://www.facebook.com/p/Monsieur-Bbq-La-Grillade-100057181132610/;Antillaise / Caraïbes;;;;https://www.openstreetmap.org/node/10961078989;À contacter;
158;Le Caribéen;81a Avenue Raymond Aron;91300;Massy;;;;Antillaise / Caraïbes, burger;;;;https://www.openstreetmap.org/node/2797815701;À contacter;
159;Tombouctou;84 Avenue Félix Faure;92000;Nanterre;01 79 62 99 31;;;Africaine;;;;https://www.openstreetmap.org/node/1411499132;À contacter;
160;Afrik'n'Fusion;94 Avenue du Général Leclerc;92100;Boulogne-Billancourt;;;;Africaine;;;;https://www.openstreetmap.org/node/870147959;À contacter;
161;Mama & Co;54 Rue de Meudon;92100;Boulogne-Billancourt;07 62 43 48 47;;;Africaine;MAMA & CO;981458805;MABROUK OULD AISSA;https://www.openstreetmap.org/node/5806794553;À contacter;
162;Sankou Afro;6 Avenue Desfeux;92100;Boulogne-Billancourt;;;;Africaine;;;;https://www.openstreetmap.org/node/922525969;À contacter;
163;Tinki's;35 Rue de Bellevue;92100;Boulogne-Billancourt;;;;Africaine;;;;https://www.openstreetmap.org/node/1675825640;À contacter;
164;Coq Noir;80 Boulevard Victor Hugo;92110;Clichy;;;;Africaine;LE COQ NOIR;481859387;ADELE CLAUDINE RIOU;https://www.openstreetmap.org/node/2062268689;À contacter;
165;Afrika;46 Rue Marjolin;92300;Levallois-Perret;;;;Africaine;AFRIKA (CROUSTY KASH / L'ATELIER LEGER);939110433;ARYÉ LEIB BISMUTH;https://www.openstreetmap.org/node/12889140101;À contacter;
166;Restaurant La Mama;3;93000;Bobigny;01 48 32 04 33;;;Africaine;;;;https://www.openstreetmap.org/node/7632124295;À contacter;
167;Faso-dibi;23 Avenue Jean Moulin;93100;Montreuil;;;;Africaine;FASO-DIBI;884482670;SABA TRAORE;https://www.openstreetmap.org/node/12739553306;À contacter;
168;L'allocodrôme d'Abidjan;90 Rue Pierre de Montreuil;93100;Montreuil;01 48 57 75 27;dithlon@gmail.com;https://lallocodromedabidjan.eatbu.com/;Africaine, chicken, fish;;;;https://www.openstreetmap.org/node/12134301690;À contacter;
169;Rio Dos Camaraos;55 Rue Marceau;93100;Montreuil;01 42 87 34 84;;;Africaine;;;;https://www.openstreetmap.org/node/2978102532;À contacter;
170;Weechef Paris;27 Rue Dombasle;93100;Montreuil;09 83 42 46 81;Wechef.c@gmail.com;https://weechefparis.fr/;Africaine;;;;https://www.openstreetmap.org/node/9440459098;À contacter;
171;Afrikitchen;27 Rue François Mitterrand;93170;Bagnolet;01 84 74 61 61;;;Africaine;;;;https://www.openstreetmap.org/node/13051902502;À contacter;
172;Lawale Simbo;181 Rue Robespierre;93170;Bagnolet;06 66 20 79 58;;;Africaine;LAWALE SIMBO (LAWALE SIMBO);913420048;MAMOU BAH (KEITA);https://www.openstreetmap.org/node/11809058842;À contacter;
173;Chez Suzanne;3 Rue Fontaine;93200;Saint-Denis;;;;Africaine;RESTAURANT CHEZ SUZANNE;982148041;CHARLEMAGNE NATO SOUNDJA;https://www.openstreetmap.org/node/6327226660;À contacter;
174;Didi Bokit;9 Boulevard Ornano;93200;Saint-Denis;;;;Antillaise / Caraïbes, burger;;;;https://www.openstreetmap.org/node/6358744972;À contacter;
175;Ivoire Gourmand;1 Quai du Port;93200;Saint-Denis;01 48 41 56 46;;;Africaine;IVOIRE GOURMAND;791724990;ABDOULAYE DIABATE;https://www.openstreetmap.org/node/3132107530;À contacter;
176;MG18;18 Rue Brise Échalas;93200;Saint-Denis;;;https://restaurant-mg18.business.site/;Africaine;;;;https://www.openstreetmap.org/node/11102311916;À contacter;
177;Mix Afro;35 Rue Ernest Renan;93200;Saint-Denis;;;;Africaine;;;;https://www.openstreetmap.org/node/11129757645;À contacter;
178;Restaurant K'ribbean Paradise;35 Rue Paul Éluard;93200;Saint-Denis;09 51 76 85 31;kribbeanparadise@gmail.com;https://www.facebook.com/profile.php?id=100063492163584;Haïtienne, Créole;RESTAURANT K'RIBBEAN PARADISE (RKP);834442709;WILLY JEAN JEAN-LOUIS;https://www.openstreetmap.org/node/11131447055;À contacter;
179;Taf et Maffé;56 Rue des Fillettes;93300;Aubervilliers;01 48 33 90 01;;https://www.resto-passerelle.org/project/taf-et-maffe-aubervilliers/;Africaine;;;;https://www.openstreetmap.org/node/9554073184;À contacter;
180;Kolya;9 Rue Arago;93400;Saint-Ouen-sur-Seine;;;;Africaine;KOLYA;992455279;FIFI BOLILI NZELO;https://www.openstreetmap.org/node/10114559974;À contacter;
181;Le Bonaberi;27;93400;Saint-Ouen-sur-Seine;;;;Africaine;;;;https://www.openstreetmap.org/node/6032596485;À contacter;
182;Restaurant ACK;51 Rue des Graviers;93400;Saint-Ouen-sur-Seine;;;;Africaine, antillaise, congolaise;;;;https://www.openstreetmap.org/node/12992278123;À contacter;
183;Chez Lalabou;49 Rue du Pré-Saint-Gervais;93500;Pantin;01 48 91 38 08;;https://www.chezlalabou.fr/;Africaine;CHEZ LALABOU;822060851;CHEICKH SISSOKO;https://www.openstreetmap.org/node/8037917775;À contacter;
184;Le Maloney (Café le Baron);71 Rue du Général Leclerc;94000;Créteil;;;;Africaine;;;;https://www.openstreetmap.org/node/4416938831;À contacter;
185;Mak-Andal BBQ;77 Rue du Général Leclerc;94000;Créteil;01 71 56 98 85;;makandalbbq;Africaine, Antillaise / Caraïbes;;;;https://www.openstreetmap.org/node/12273318121;À contacter;
186;African Evasion;37 Boulevard Rabelais;94100;Saint-Maur-des-Fossés;01 41 81 08 73;;https://africanevasion94100.fr/;Africaine;;;;https://www.openstreetmap.org/node/3552410640;À contacter;
187;Keur Baye Niasse;10 Avenue du Val de Fontenay;94120;Fontenay-sous-Bois;;;;Africaine;;;;https://www.openstreetmap.org/way/1026818730;À contacter;
188;Saveur du Mandé;19 Rue Émile Zola;94120;Fontenay-sous-Bois;;;;Africaine, arab, chicken, friture, sausage;;;;https://www.openstreetmap.org/node/2015442136;À contacter;
189;À l'Africaine;219 Avenue de la République;94120;Fontenay-sous-Bois;;;;Africaine;A L'AFRICAINE;888108628;MABOUDOU DOSSO;https://www.openstreetmap.org/node/4842325553;À contacter;
190;Créole Avenue;4 Avenue Pierre Mendès-France;94190;Villeneuve-Saint-Georges;01 43 89 89 89;contact@creole-avenue.com;https://creole-avenue.com/;Antillaise / Caraïbes;;;;https://www.openstreetmap.org/node/5760555894;À contacter;
191;African Evasion;32 Avenue Jean Jaurès;94200;Ivry-sur-Seine;01 58 91 00 06;;https://www.african-evasion94.com/;Africaine;AFRICAN FOOD IVRY (AFRICAN EVASION);107378226;RUFUL MIAH;https://www.openstreetmap.org/node/13725800777;À contacter;
192;Founerou Gourmand;61 Rue Molière;94200;Ivry-sur-Seine;01 45 21 90 70;;;Africaine;;;;https://www.openstreetmap.org/node/12218856730;À contacter;
193;Karibu;21 Promenee Marat;94200;Ivry-sur-Seine;01 46 72 75 06;;;Africaine;LUKYO NEGOCE (KARIBU - TRAITEUR AFRICAIN);753502806;NDOLO ORNELLA LULUNDAKIO (LULUNDAKIO);https://www.openstreetmap.org/node/2818572754;À contacter;
194;A folé;6 Rue Roger Salengro;94270;Le Kremlin-Bicêtre;;;;Africaine;;;;https://www.openstreetmap.org/node/2191682045;À contacter;
195;Le Kouilou;9;94400;Vitry-sur-Seine;06 21 56 19 73;;;Africaine, congolaise;LE KOUILOU (LE KOUILOU) (LE KPN);829577345;NADINE MADELAINE (MAKAYA POPOLL);https://www.openstreetmap.org/node/7603858654;À contacter;
196;African Evasion;21 Boulevard Gabriel Péri;94500;Champigny-sur-Marne;;;;Africaine;BLACK FOOD;822045019;KEVIN ROYER;https://www.openstreetmap.org/node/8215065825;À contacter;
197;Le Griffé;103 Avenue du Général de Gaulle;94500;Champigny-sur-Marne;01 48 82 45 89;;;Africaine, sénégalaise;LE GRIFFE;850101445;GNAORE ALAIN RUBRICE;https://www.openstreetmap.org/node/13084836472;À contacter;
198;Mumbay Grill;117 Avenue du Général de Gaulle;94500;Champigny-sur-Marne;;;;Africaine;;;;https://www.openstreetmap.org/node/8217911025;À contacter;
