#;Priorité;Nom;Adresse;CP;Ville;Tél;E-mail;Site;Spécialité / activité;Raison sociale;SIREN;NAF;Effectif;Création;Dirigeant;Source;Statut;Notes
88;B;Planet Exotic;8 Rue De L'Isly;75008;Paris;;;;Grossiste boissons (NAF 46.34Z);PLANET EXOTIC;851211342;46.34Z;;2019;SUBHAS CHANDRA SOOBA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
89;B;Saffari Du Congo;34 Avenue Des Champs Elysees;75008;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);CAROLA SAFFAR (OKITAKULA YOHARI KISSIMBA) (SAFFARI);523034601;46.39B;;2010;CAROLA SAFFAR (OKITAKULA YOHARI KISSIMBA);SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
90;B;Taxfry Africa;32 Rue La Boetie;75008;Paris;;;;Centrale d’achat alimentaire (NAF 46.17A);TAXFRY AFRICA;511853590;46.17A;;2009;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
91;B;Exotic Country Store;187 Rue Du Faubourg Saint-Denis;75010;Paris;;;;Grossiste alimentaire spécialisé (NAF 46.38B);EXOTIC COUNTRY STORE;421780453;46.38B;10-19;1998;KANAGASABAPATHIPILLAI SRIRAM;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
92;B;S.S. Exotique;1 A 3 1 Rue D'Enghien;75010;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);S.S. EXOTIQUE;479405714;46.39B;;2004;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
93;B;Tropic;Chez Co Ge Inf 54 Rue D'Enghien;75010;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);TROPIC;451790471;46.39B;;2004;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
94;B;Afro Delices Am;3 Avenue De Bouvines;75011;Paris;;;;Grossiste boissons (NAF 46.34Z);AFRO DELICES AM;942228883;46.34Z;;2025;ATIF SAADE;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
95;B;B M S Exotiques Sarl;1 3 5 Rue De L'Orillon;75011;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);B M S EXOTIQUES SARL;478205651;46.39B;;2004;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
96;B;Exotique Express;4 Rue Pasteur;75011;Paris;;;;Grossiste café/thé/épices (NAF 46.37Z);EXOTIQUE EXPRESS;378932743;46.37Z;;1990;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
97;B;Les Agapes Africaines;9 Rue Morand;75011;Paris;;;;Grossiste alimentaire spécialisé (NAF 46.38B);LES AGAPES AFRICAINES (AGAFRIC);411125420;46.38B;;1997;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
98;B;Guayapi Tropical;55 Rue Traversiere;75012;Paris;;;;Grossiste alimentaire spécialisé (NAF 46.38B);GUAYAPI TROPICAL;353588718;46.38B;6-9;1990;BASTIEN BEAUFORT;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
99;B;Si France Afrique Alimentation;121 Rue De Picpus;75012;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);SI FRANCE AFRIQUE ALIMENTATION;883833378;46.39B;;2020;SALIHA IKKACHE;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
100;B;Charles Exotique Import Et Export;6 Rue Duchefdelaville;75013;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);CHARLES EXOTIQUE IMPORT ET EXPORT;528733421;46.39B;;2010;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
101;B;Societe Franco-Africaine De Commerce - Sofracom;38 Rue Dunois;75013;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);SOCIETE FRANCO-AFRICAINE DE COMMERCE - SOFRACOM;529782260;46.39B;1-2;2011;VALERY EICH;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
102;B;Distribution Des Produits Alimentaires, De La Mer Et Exotiques;2 B Rue Montbrun;75014;Paris;;;;Grossiste poissons (NAF 46.38A);DISTRIBUTION DES PRODUITS ALIMENTAIRES, DE LA MER ET EXOTIQUES (DISTRIBUTION DES PRODUITS ALIMENTAIRES, DE LA MER ET EXOTIQUES) (D.I.P.A.M.E.);790644462;46.38A;;2013;BATUMIKE BAKAMARHE;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
103;B;Stella Exotique;3 Boulevard Victor;75015;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);STELLA EXOTIQUE (STELLA EXOTIQUE);953486156;46.39B;;2023;RAJAHSEGARAM ANTONIPILLAI;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
104;B;Soc Importation Produits Fruits Exotique;196 Boulevard Pereire;75017;Paris;;;;Grossiste fruits & légumes (NAF 46.31Z);SOC IMPORTATION PRODUITS FRUITS EXOTIQUE (SOIPFE);351170279;46.31Z;;1989;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
105;B;Africa Store;19 Rue Simart;75018;Paris;;;;Grossiste alimentaire spécialisé (NAF 46.38B);AFRICA STORE;843729914;46.38B;;2018;LUCKY OBOBAFU;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
106;B;Alpha Exotique&Distribution;27 Rue D'Oran;75018;Paris;;;;Grossiste fruits & légumes (NAF 46.31Z);ALPHA EXOTIQUE&DISTRIBUTION (ALEXDI);884679002;46.31Z;1-2;2020;ALPHONCINE DJONA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
107;B;Appocalypse;26 Rue Ernestine;75018;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);MAJOLIE EXOTIQUE (APPOCALYPSE);851753350;46.39B;1-2;2019;TRESOR KIMPUELA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
108;B;J.D.C. Africa;3 Rue De Suez;75018;Paris;;;;Grossiste fruits & légumes (NAF 46.31Z);J.D.C. AFRICA (J.D.C. AFRICA);828309245;46.31Z;0;2017;JOEL KUITAT TCHINDA TOULEPI;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
109;B;Nako Dsitribution;55 Rue Doudeauville;75018;Paris;;;;Grossiste fruits & légumes (NAF 46.31Z);NAKO DSITRIBUTION (FORUM D'ABIDJAN);795230432;46.31Z;1-2;2013;DJOUA TOHA MARIE JOSIANE NAKO;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
110;B;Sasu Nigoumi Exotic;21 B Rue Du Simplon;75018;Paris;;;;Grossiste fruits & légumes (NAF 46.31Z);SASU NIGOUMI EXOTIC (PILI PILI EXOTIC);830898730;46.31Z;1-2;2017;JEANNE RENNEE FOUE DEBILOGO;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
111;B;Societe Africaine De Distribution Des Denrees De L'Ouest;11 Rue De Panama;75018;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);SOCIETE AFRICAINE DE DISTRIBUTION DES DENREES DE L'OUEST (SADDO);400230421;46.39B;;1995;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
112;B;Societe Les Champs D Afrique;5 Rue De Panama;75018;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);SOCIETE LES CHAMPS D AFRIQUE;478726987;46.39B;;2004;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
113;B;Tropic International;21 B Rue Du Simplon;75018;Paris;;;;Intermédiaire commerce alimentaire (NAF 46.17B);TROPIC INTERNATIONAL;522208016;46.17B;;2010;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
114;B;Tropiques Exo;10 Rue Marcadet;75018;Paris;;;;Grossiste boissons (NAF 46.34Z);TROPIQUES EXO;438861197;46.34Z;0;2001;MAHOUTIN ALICE DJEKINNOU;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
115;B;Universal Exotic;8 Rue De Suez;75018;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);UNIVERSAL EXOTIC;888267259;46.39B;1-2;2020;ALAIN FRANCOIS LINDJECK;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
116;B;Les Saveurs Exotiques;218 A 228 218 Rue De Crimee;75019;Paris;;;;Grossiste alimentaire spécialisé (NAF 46.38B);LES SAVEURS EXOTIQUES;431954924;46.38B;;2000;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
117;B;Sarl Lelouma Exotiques;7 Rue Du Docteur Potain;75019;Paris;;;;Grossiste alimentaire spécialisé (NAF 46.38B);SARL LELOUMA EXOTIQUES;494748510;46.38B;;2007;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
118;B;Exotic Gourmet International;Chez Buroservices 114 Rue Des Pyrenees;75020;Paris;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);EXOTIC GOURMET INTERNATIONAL;408392546;46.39B;;1996;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
119;B;La Ferme Exotique;25 Rue Saint-Blaise;75020;Paris;;;;Grossiste alimentaire spécialisé (NAF 46.38B);LA FERME EXOTIQUE;399445014;46.38B;;1995;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
120;B;Fatoumata Diaraye N'Diaye (N Zassa Plats Africains);14 Square Francois Couperin;77000;Melun;;;;Plats préparés (NAF 10.85Z);FATOUMATA DIARAYE N'DIAYE (N ZASSA PLATS AFRICAINS);901360545;10.85Z;;2021;FATOUMATA DIARAYE DIARAYE FATOUMATA N'DIAYE;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
121;B;Fimm Exotique;8 Rue Louis Beaunier;77000;Melun;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);FIMM EXOTIQUE;984809020;46.39B;;2024;FRANCK ALOUA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
122;B;Exani Tropic;6 Rue De Senlis;77100;Meaux;;;;Grossiste alimentaire spécialisé (NAF 46.38B);EXANI TROPIC;478874647;46.38B;;2004;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
123;B;Rekha Ramjeeawon (Beeharry) (Douceur Des Iles);4 Rue Du Maroy;77141;Vaudoy-En-Brie;;;;Plats préparés (NAF 10.85Z);REKHA RAMJEEAWON (BEEHARRY) (DOUCEUR DES ILES);903454643;10.85Z;;2021;REKHA RAMJEEAWON (BEEHARRY);SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
124;B;Pirath Exotique;12 Rue Leonard De Vinci;77170;Brie-Comte-Robert;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);TANIS EUROPEENNE;752899922;46.39B;1-2;2012;THILAKENDRALINGAM ANISKARAN;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
125;B;Exotic Services;52 Rue D'Emerainville;77183;Croissy-Beaubourg;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);EXOTIC SERVICES;480173731;46.39B;;2005;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
126;B;Vilay Exotique;4 Rue Des Pres Saint-Martin;77340;Pontault-Combault;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);VILAY EXOTIQUE;384399085;46.39B;;1991;VILAY CHANTHAVONG (CHANTHAVONG);SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
127;B;Exotic Land;2 Rue Des Chevreuils;77380;Combs-La-Ville;;;;Grossiste fruits & légumes (NAF 46.31Z);EXOTIC LAND;894096502;46.31Z;;2021;SADIA FATY;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
128;B;Nature Exotique;90 Avenue General De Gaulle;77500;Chelles;;;;Grossiste alimentaire spécialisé (NAF 46.38B);NATURE EXOTIQUE;395337314;46.38B;;1994;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
129;B;Global Spices & Tropical Food'S France;Zi Bouzigues  Bat 2 Rte Nationale 105;77550;Reau;;;;Grossiste alimentaire spécialisé (NAF 46.38B);GLOBAL SPICES & TROPICAL FOOD'S FRANCE (GSTF);447643990;46.38B;;2003;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
130;B;Univers Exotic International;7 Square Antoine Barye;77680;Roissy-En-Brie;;;;Intermédiaire commerce alimentaire (NAF 46.17B);UNIVERS EXOTIC INTERNATIONAL (UNIVERS EXOTIC INTERNATIONAL);753484500;46.17B;;2012;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
131;B;Fruits D'Afrique;1 Allee Anne Dessoye;77950;Rubelles;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);FRUITS D'AFRIQUE;888933843;46.39B;;2020;SONIA DOMINIQUE LAURIANNE DIPOKO;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
132;B;Teranga Global Link;29 T Rue De La Croix De Fer;78100;Saint-Germain-En-Laye;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);TERANGA GLOBAL LINK;101533743;46.39B;;2026;YOUBA BOCAR SY;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
133;B;Pavellie Bahoungamana (Dyka Traiteur Africain);29 Avenue Marceau;78190;Trappes;;;;Plats préparés (NAF 10.85Z);PAVELLIE BAHOUNGAMANA (DYKA TRAITEUR AFRICAIN);812402998;10.85Z;;2015;PAVELLIE BAHOUNGAMANA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
134;B;Groupe Exotique Yambo;39 Allee De Provence;78200;Magnanville;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);GROUPE EXOTIQUE YAMBO;109357525;46.39B;;2026;BAKHTA BELHADJI;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
135;B;Compagnie Des Saveurs Exotiques;189 Rue Du General Leclerc;78400;Chatou;;;;Grossiste café/thé/épices (NAF 46.37Z);COMPAGNIE DES SAVEURS EXOTIQUES;843124165;46.37Z;;2018;JOSE ANDRIANASOLO;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
136;B;Mano Imports;Batiment 16 2 Allee De Chantereine;78711;Mantes-La-Ville;;;;Grossiste alimentaire spécialisé (NAF 46.38B);MANO IMPORTS (LE GROSSISTE DE L'EXOTIQUE);909993875;46.38B;6-9;2022;MANOGANAN THEVAKUMAR;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
137;B;Exotic-Export Sarl;48 Bd Des Coquibus;91000;Evry-Courcouronnes;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);EXOTIC-EXPORT SARL;798599965;46.39B;;2013;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
138;B;Mak Esperance Exotique Sarl;5 Rue De L Essonne;91000;Evry-Courcouronnes;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);MAK ESPERANCE EXOTIQUE SARL;484872205;46.39B;;2005;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
139;B;Yakaf-Exotic;7 B Pl Jules Valles;91000;Evry-Courcouronnes;;;;Grossiste alimentaire spécialisé (NAF 46.38B);YAKAF-EXOTIC;484872023;46.38B;;2005;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
140;B;Garba Exotique;38 Av Du Pdt Salvador Allende;91100;Corbeil-Essonnes;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);GARBA EXOTIQUE;885070375;46.39B;;2020;TROUIN LAZARE DOUDOUO;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
141;B;Tresors Exotiques;4 Rue De La Juiverie;91150;Etampes;;;;Grossiste alimentaire spécialisé (NAF 46.38B);TRESORS EXOTIQUES (TE);529194052;46.38B;;2010;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
142;B;V Exotic;18 Avenue Jacques Chirac;91200;Athis-Mons;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);V EXOTIC (VE);930894274;46.39B;;2024;KAMALATHASAN VISWANATHAN;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
143;B;Sita Exotic;19 Place De France;91300;Massy;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);SITA EXOTIC;801686338;46.39B;0;2014;AGILAN SITTARAMNE;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
144;B;S.M. Exotique De La Gare;15 Rue Pasteur;91360;Epinay-Sur-Orge;;;;Grossiste alimentaire spécialisé (NAF 46.38B);S.M. EXOTIQUE DE LA GARE;499482719;46.38B;;2007;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
145;B;Super Exotique Bongo;7 Rue Des Glaises;91800;Boussy-Saint-Antoine;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);SUPER EXOTIQUE BONGO;907638613;46.39B;;2021;GUYLAIN BONGO MATAYA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
146;B;Boissons D'Afrique;27 Rue Edmond Dubuis;92000;Nanterre;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);BOISSONS D'AFRIQUE;940181001;46.39B;;2025;EUGÈNE LAUREL DAWA YOUMBI;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
147;B;Le Cercle Exotic Evenement;135 Avenue Georges Clemenceau;92000;Nanterre;;;;Grossiste céréales/tabac (NAF 46.21Z);LE CERCLE EXOTIC EVENEMENT;479160095;46.21Z;;2004;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
148;B;Nos Legumes D'Afrique;9 Rue Severine;92130;Issy-Les-Moulineaux;;;;Grossiste alimentaire spécialisé (NAF 46.38B);NOS LEGUMES D'AFRIQUE;992919910;46.38B;;2025;ESTHELLE OLIVIA MPONDO;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
149;B;Tropical Cafe;40 Rue Condorcet;92140;Clamart;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);TROPICAL CAFE;420482960;46.39B;;1998;LIONEL BALIAN;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
150;B;Marche D'Abidjan;12 Rue Felicie;92230;Gennevilliers;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);MARCHE D'ABIDJAN;932415144;46.39B;;2024;LASSINA KARAMOKO;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
151;B;Grace & Succes Exotique;6 Rue Laure Fiot;92600;Asnieres-Sur-Seine;;;;Grossiste alimentaire spécialisé (NAF 46.38B);GRACE & SUCCES EXOTIQUE;531298263;46.38B;;2011;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
152;B;Le Comptoir Exotique;98 Avenue Des Gresillons;92600;Asnieres-Sur-Seine;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);LE COMPTOIR EXOTIQUE;921142105;46.39B;1-2;2022;THANUJAH SIVAPATHAM (MAHENDRARAJAH);SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
153;B;Au Marche Exotique 95;55 Rue Francis Combe;95000;Cergy;;;;Grossiste alimentaire spécialisé (NAF 46.38B);AU MARCHE EXOTIQUE 95 (AU MARCHE EXOTIQUE 95);890467301;46.38B;6-9;2020;SUBAJINI KRISHNAMOORTHY (BALACHANDRAN);SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
154;B;Tropic Ocean;4 Rue Des Chenes D'Or;95000;Cergy;;;;Grossiste poissons (NAF 46.38A);TROPIC OCEAN;444767248;46.38A;;2003;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
155;B;Goussainville Exotique;2/4 2 Avenue Du 6 Juin 1944;95190;Goussainville;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);GOUSSAINVILLE EXOTIQUE;534112099;46.39B;;2011;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
156;B;Kyr Exotics;12 Allee Raoul Dufy;95200;Sarcelles;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);KYR EXOTICS;937542306;46.39B;;2024;MABRONDJE TOURE;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
157;B;Le Monde De L'Afrique;30 Avenue Du 8 Mai 1945;95200;Sarcelles;;;;Grossiste alimentaire spécialisé (NAF 46.38B);LE MONDE DE L'AFRIQUE;484397021;46.38B;;2005;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
158;B;Tropical Store;1 Rue De L'Escouvrier;95200;Sarcelles;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);TROPICAL STORE;842190282;46.39B;6-9;2018;ROCHE JUDE PIOUS ROSHAN;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
159;B;Djiguiya Exotique;8 Rue Des Champs Guillaume;95240;Cormeilles-En-Parisis;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);DJIGUIYA EXOTIQUE;950703389;46.39B;;2023;FATOUMATA DOUMBIA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
160;B;Lanaya Exotique;8 Rue Des Champs Guillaume;95240;Cormeilles-En-Parisis;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);LANAYA EXOTIQUE (L.E);101472645;46.39B;;2026;MOUHAMED SACKO;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
161;B;Antilles Distribution;112 Rue Jean Jaures;95400;Arnouville;;;;Grossiste alimentaire non spécialisé (NAF 46.39B);ANTILLES DISTRIBUTION;838856284;46.39B;;2018;XAVIER WILLY NIPAU;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
162;B;Marie Guerline Estanis (Jean Baptiste) (Festin Creole Incroyable Grace);5 Rue Des Jours Heureux;95490;Vaureal;;;;Plats préparés (NAF 10.85Z);MARIE GUERLINE ESTANIS (JEAN BAPTISTE) (FESTIN CREOLE INCROYABLE GRACE);849589965;10.85Z;;2019;MARIE-GUERLINE ESTANIS (JEAN BAPTISTE);SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
163;B;Jonathan Robin (Des Iles Et D'Ailleurs);5 Colline De La Raviniere;95520;Osny;;;;Plats préparés (NAF 10.85Z);JONATHAN ROBIN (DES ILES ET D'AILLEURS);798589941;10.85Z;;2013;JONATHAN ROBIN (ROBIN);SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
164;B;Exotic Fs;C18 6 Allee Fleurie;95800;Cergy;;;;Grossiste alimentaire spécialisé (NAF 46.38B);EXOTIC FS;940954795;46.38B;;2025;M-FINANK;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
165;C;Rick Exotique;7 Place Du 11 Novembre 1918;93000;Bobigny;;;;Grossiste non spécialisé (NAF 46.90Z);RICK EXOTIQUE;490161700;46.90Z;;2006;LEQUN LIN (LIN);SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
166;C;Exotique Distribution;165 Boulevard De La Boissiere;93100;Montreuil;;;;Grossiste non spécialisé (NAF 46.90Z);EXOTIQUE DISTRIBUTION;104112842;46.90Z;;2026;HAWA GANDEGA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
167;C;Sanogo Delice Attieke;308 Rue De Rosny;93100;Montreuil;;;;Grossiste non spécialisé (NAF 46.90Z);SANOGO DELICE ATTIEKE (SANOGO DELICE ATTIEKE);912471075;46.90Z;;2022;LASSANA FOFANA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
168;C;T.M.K Exotique;122 Avenue Du President Wilson;93100;Montreuil;;;;Grossiste non spécialisé (NAF 46.90Z);T.M.K EXOTIQUE;531739647;46.90Z;;2011;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
169;C;Exotique Marche;80 Avenue Paul Vaillant Couturier;93150;Le Blanc-Mesnil;;;;Grossiste non spécialisé (NAF 46.90Z);EXOTIQUE MARCHE;435372339;46.90Z;;2001;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
170;C;Chez Henrietto Exotiques;71 B Rue Danielle Casanova;93200;Saint-Denis;;;;Grossiste non spécialisé (NAF 46.90Z);CHEZ HENRIETTO EXOTIQUES;487829103;46.90Z;1-2;2006;MIKWIZA BAVUTULA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
171;C;Exotique Tropical;35 Boulevard Anatole France;93200;Saint-Denis;;;;Grossiste non spécialisé (NAF 46.90Z);EXOTIQUE TROPICAL;980082051;46.90Z;;2023;SIKIRA ANTOINETTE MOREIRA;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
172;C;K & M Exotique;83 Boulevard Henri Barbusse;93230;Romainville;;;;Grossiste non spécialisé (NAF 46.90Z);K & M EXOTIQUE;514667336;46.90Z;;2009;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
173;C;Embo - Exotique;7 Rue Cugnot;93250;Villemomble;;;;Grossiste non spécialisé (NAF 46.90Z);EMBO - EXOTIQUE;489853820;46.90Z;;2006;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
174;C;France Exotique;21 A 23 21 Rue De La Haie Coq;93300;Aubervilliers;;;;Grossiste non spécialisé (NAF 46.90Z);FRANCE EXOTIQUE;433814548;46.90Z;3-5;2001;CAROLINE QUELIN;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
175;C;Bissap Market;153 Route De Saint-Leu;93800;Epinay-Sur-Seine;;;;Grossiste non spécialisé (NAF 46.90Z);BISSAP MARKET;889488813;46.90Z;;2020;LASSANA DJIBY SOUMARE;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
176;C;Dane Exotique;7 Rue Des Freres Poirier;94400;Vitry-Sur-Seine;;;;Grossiste non spécialisé (NAF 46.90Z);DANE EXOTIQUE;504801549;46.90Z;;2008;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
177;C;Johann Tchissambou-Henry (Tchissambou) (Sushi Exotique 24 Carats);34 Avenue Des Champs Elysees;75008;Paris;;;;Grossiste non spécialisé (NAF 46.90Z);JOHANN TCHISSAMBOU-HENRY (TCHISSAMBOU) (SUSHI EXOTIQUE 24 CARATS);512007717;46.90Z;;2009;JOHANN BAUD MATTHIEU TCHISSAMBOU-HENRY (TCHISSAMBOU);SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
178;C;Sacko Exotics;66 Avenue Des Champs Elysees;75008;Paris;;;;Grossiste non spécialisé (NAF 46.90Z);SACKO EXOTICS;943550780;46.90Z;;2025;FATOUMA SACKO;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
179;C;Senmal Exotic;3 B Rue De Budapest;75009;Paris;;;;Grossiste non spécialisé (NAF 46.90Z);SENMAL EXOTIC (SENMAL EXOTIC);753299189;46.90Z;;2012;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
180;C;Afrique Distribution Transactions;32 Rue De Paradis;75010;Paris;;;;Grossiste non spécialisé (NAF 46.90Z);AFRIQUE DISTRIBUTION TRANSACTIONS;531692622;46.90Z;;2011;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
181;C;Europe Afrique Distribution;203 Rue Saint-Maur;75010;Paris;;;;Grossiste non spécialisé (NAF 46.90Z);EUROPE AFRIQUE DISTRIBUTION (E A D);507497618;46.90Z;;2008;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
182;C;Societe De Distribution De Produits Exotiques - Sdpe;Chez Sem 14 Rue Civiale;75010;Paris;;;;Grossiste non spécialisé (NAF 46.90Z);SOCIETE DE DISTRIBUTION DE PRODUITS EXOTIQUES - SDPE;399167493;46.90Z;;1994;;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
183;C;Porto Exotique;31 Rue De Reuilly;75012;Paris;;;;Grossiste non spécialisé (NAF 46.90Z);PORTO EXOTIQUE;920179231;46.90Z;;2022;PHILIPPE DOS SANTOS;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
184;C;Sas Mbeta Exotique;118 Rue Des Moines;75017;Paris;;;;Grossiste non spécialisé (NAF 46.90Z);SAS MBETA EXOTIQUE (SAS MBETA EXOTIQUE);100564418;46.90Z;;2026;ALPHONSINE DORETTE TCHOS ATCHOM;SIRENE (recherche-entreprises.api.gouv.fr);À contacter;
